"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"11861","34288","2020",11,10,1,334287.5,3245.273,109
"11862","34289","2020",64,61,3,174996,1994.125,89.25
"11863","34290","2020",7,6,1,339114.3,3143.857,109.1429
"11864","34291","2020",8,8,0,122422.5,1507.125,83.75
"11865","34292","2020",9,9,0,237566.7,2137.222,117.8889
"11866","34293","2020",55,55,0,118565.2,1494,74.56364
"11867","34294","2020",13,13,0,257069.2,2875.077,89.23077
"11868","34295","2020",19,18,1,376762.4,3301.158,117.6316
"11869","34296","2020",4,4,0,203537.5,3213.25,88.5
"11870","34297","2020",2,2,0,253225,2110.5,120
"11871","34298","2020",80,76,4,250036,2505.075,101.35
"11872","34299","2020",129,101,28,217882.4,2630.566,82.12403
"11873","34300","2020",83,80,3,206062.5,2004.253,100.0482
"11874","34301","2020",1175,144,1031,178750.2,2980.036,60.03404
"11875","34302","2020",20,20,0,134246.8,1401.85,91.6
"11876","34304","2020",14,13,1,152396.4,1578.643,92.07143
"11877","34305","2020",5,5,0,109700,1612.2,69.4
"11878","34306","2020",3,3,0,304766.7,1761.333,174
"11879","34307","2020",32,26,6,318109.3,3061.344,103.0312
"11880","34308","2020",10,9,1,153563,1749.3,87
"11881","34309","2020",35,29,6,398475.1,3622.2,109.8286
"11882","34310","2020",49,48,1,211682.6,1986.776,106.7959
"11883","34311","2020",28,26,2,194175.4,2009.964,95.82143
"11884","34312","2020",21,20,1,129630.5,1473.095,88.95238
"11885","34313","2020",8,8,0,219253.8,2035.125,100.875
"11886","34314","2020",7,7,0,565627.6,4388.857,128.4286
"11887","34315","2020",6,6,0,258433.3,1887.833,154
"11888","34316","2020",5,5,0,244160,2043.6,110.8
"11889","34317","2020",3,2,1,54000,778.3333,69.66667
"11890","34318","2020",10,10,0,298268.3,2561.9,125.8
"11891","34319","2020",1,1,0,358100,2197,163
"11892","34320","2020",21,21,0,386181.4,3259.714,120.0952
"11893","34321","2020",26,25,1,303760.2,2733.385,111.6923
"11894","34322","2020",8,8,0,444697.1,3556.125,127.875
"11895","34324","2020",306,121,185,138301,3058.15,46.65359
"11896","34325","2020",19,16,3,189244.9,2119.053,87.57895
"11897","34327","2020",86,58,28,290520.7,3461.233,84.75581
"11898","34328","2020",15,15,0,157373.3,1647.267,89.46667
"11899","34329","2020",60,52,8,167659.5,3057.183,62.03333
"11900","34331","2020",3,3,0,75190,864.3333,82.66667
"11901","34332","2020",161,136,25,147070.1,2654.453,60.71429
"11902","34333","2020",93,92,1,189070.3,4833.495,45.89247
"11903","34334","2020",6,6,0,70891.67,1059.333,61.16667
"11904","34335","2020",3,3,0,40000,606.6667,63.66667
"11905","34336","2020",75,59,16,141824.4,1753.96,82.93333
"11906","34337","2020",109,91,18,283120.3,3424.688,85.09174
"11907","34338","2020",1,1,0,250000,2778,90
"11908","34339","2020",5,5,0,119064,1229.6,97.8
"11909","34340","2020",15,15,0,325012.8,3018.2,110
"11910","34341","2020",47,44,3,219495.9,2166.043,99.74468
"11911","34342","2020",2,1,1,383175,2264,152
"11912","34343","2020",6,6,0,237173.5,3267.5,70.83333
